Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
2010-2011,16,Schalke 04,de GER,1. Bundesliga,14th,15,3,509,5.7,1,0,0,0,1,0,0.18,0.00,0.18,0.18,0.18,,,,,,,,,Matches
2011-2012,17,Schalke 04,de GER,1. Bundesliga,3rd,30,21,1762,19.6,2,3,0,0,2,0,0.10,0.15,0.26,0.10,0.26,,,,,,,,,Matches
2012-2013,18,Schalke 04,de GER,1. Bundesliga,4th,30,24,2131,23.7,10,3,0,1,5,0,0.42,0.13,0.55,0.42,0.55,,,,,,,,,Matches
2013-2014,19,Schalke 04,de GER,1. Bundesliga,3rd,26,25,2145,23.8,2,7,0,0,5,0,0.08,0.29,0.38,0.08,0.38,,,,,,,,,Matches
2014-2015,20,Schalke 04,de GER,1. Bundesliga,6th,15,8,775,8.6,2,1,0,0,1,1,0.23,0.12,0.35,0.23,0.35,,,,,,,,,Matches
2015-2016,21,Schalke 04,de GER,1. Bundesliga,5th,3,3,252,2.8,1,0,0,0,1,0,0.36,0.00,0.36,0.36,0.36,,,,,,,,,Matches
2015-2016,21,Wolfsburg,de GER,1. Bundesliga,8th,21,19,1517,16.9,5,5,0,0,4,1,0.30,0.30,0.59,0.30,0.59,,,,,,,,,Matches
2016-2017,22,Wolfsburg,de GER,1. Bundesliga,16th,13,12,1050,11.7,0,2,0,0,0,0,0.00,0.17,0.17,0.00,0.17,,,,,,,,,Matches
2016-2017,22,Paris S-G,fr FRA,1. Ligue 1,2nd,17,12,1012,11.2,4,1,0,0,2,0,0.36,0.09,0.44,0.36,0.44,,,,,,,,,Matches
2017-2018,23,Paris S-G,fr FRA,1. Ligue 1,1st,30,19,1702,18.9,4,5,0,0,1,0,0.21,0.26,0.48,0.21,0.48,3.2,3.2,4.3,0.17,0.23,0.40,0.17,0.40,Matches
2018-2019,24,Paris S-G,fr FRA,1. Ligue 1,1st,31,22,2046,22.7,3,7,0,0,6,0,0.13,0.31,0.44,0.13,0.44,4.8,4.8,5.4,0.21,0.24,0.45,0.21,0.45,Matches
2019-2020,25,Paris S-G,fr FRA,1. Ligue 1,1st,11,7,686,7.6,0,4,0,0,5,0,0.00,0.52,0.52,0.00,0.52,1.5,1.5,1.9,0.20,0.25,0.44,0.20,0.44,Matches
2020-2021,26,Paris S-G,fr FRA,1. Ligue 1,3rd,12,5,479,5.3,2,1,0,0,3,0,0.38,0.19,0.56,0.38,0.56,1.2,1.2,1.2,0.23,0.22,0.45,0.23,0.45,Matches
